"songplay_id","start_time","user_id","level","song_id","artist_id","session_id","location","user_agent","created_at","updated_at"
1,"2018-11-01 21:01:46.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
2,"2018-11-01 21:05:52.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
3,"2018-11-01 21:08:16.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
4,"2018-11-01 21:11:13.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
5,"2018-11-01 21:17:33.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
6,"2018-11-01 21:24:53.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
7,"2018-11-01 21:28:54.796",8,"free",NULL,NULL,139,"Phoenix-Mesa-Scottsdale, AZ","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
8,"2018-11-01 21:42:00.796",10,"free",NULL,NULL,9,"Washington-Arlington-Alexandria, DC-VA-MD-WV","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
9,"2018-11-01 21:52:05.796",26,"free",NULL,NULL,169,"San Jose-Sunnyvale-Santa Clara, CA","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
10,"2018-11-01 21:55:25.796",26,"free",NULL,NULL,169,"San Jose-Sunnyvale-Santa Clara, CA","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
11,"2018-11-01 22:23:14.796",101,"free",NULL,NULL,100,"New Orleans-Metairie, LA","""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""","2025-10-21 15:35:06.902661","2025-10-21 15:35:06.902661"
12,"2018-11-02 01:25:34.796",101,"free",NULL,NULL,184,"New Orleans-Metairie, LA","""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
13,"2018-11-02 01:30:41.796",83,"free",NULL,NULL,82,"Lubbock, TX","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
14,"2018-11-02 01:34:17.796",83,"free",NULL,NULL,82,"Lubbock, TX","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
15,"2018-11-02 02:42:48.796",66,"free",NULL,NULL,153,"Harrisburg-Carlisle, PA","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
16,"2018-11-02 03:05:57.796",48,"free",NULL,NULL,47,"Salinas, CA","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
17,"2018-11-02 03:34:34.796",86,"free",NULL,NULL,170,"La Crosse-Onalaska, WI-MN","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
18,"2018-11-02 05:15:41.796",17,"free",NULL,NULL,118,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
19,"2018-11-02 05:52:29.796",66,"free",NULL,NULL,187,"Harrisburg-Carlisle, PA","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
20,"2018-11-02 09:01:21.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
21,"2018-11-02 09:04:16.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
22,"2018-11-02 09:08:18.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
23,"2018-11-02 09:12:32.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
24,"2018-11-02 09:13:37.796",89,"free",NULL,NULL,88,"Cedar Rapids, IA","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
25,"2018-11-02 09:16:16.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
26,"2018-11-02 09:19:15.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
27,"2018-11-02 09:22:43.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
28,"2018-11-02 09:26:49.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
29,"2018-11-02 09:31:00.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
30,"2018-11-02 09:35:25.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
31,"2018-11-02 09:40:11.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
32,"2018-11-02 09:42:23.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
33,"2018-11-02 09:47:01.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
34,"2018-11-02 09:50:23.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
35,"2018-11-02 09:54:59.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
36,"2018-11-02 09:57:56.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
37,"2018-11-02 10:02:20.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
38,"2018-11-02 10:04:05.796",15,"paid",NULL,NULL,172,"Chicago-Naperville-Elgin, IL-IN-WI","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""","2025-10-21 15:35:06.983597","2025-10-21 15:35:06.983597"
